,ENCnum,ENCtime
292,4294967005.0,18587628.0
293,4294967004.0,18593065.0
294,4294967003.0,18598500.0
295,4294967002.0,18603907.0
296,4294967001.0,18609299.0
297,4294967000.0,18614665.0
298,4294966999.0,18620029.0
299,4294966998.0,18625381.0
300,4294966997.0,18630713.0
301,4294966996.0,18636029.0
302,4294966995.0,18641332.0
303,4294966994.0,18646607.0
304,4294966993.0,18651868.0
305,4294966992.0,18657116.0
306,4294966991.0,18662347.0
307,4294966990.0,18667580.0
308,4294966989.0,18672789.0
309,4294966988.0,18677990.0
310,4294966987.0,18683184.0
311,4294966986.0,18688383.0
312,4294966985.0,18693585.0
313,4294966984.0,18698798.0
314,4294966983.0,18704015.0
315,4294966982.0,18709214.0
316,4294966981.0,18714403.0
317,4294966980.0,18719584.0
318,4294966979.0,18724754.0
319,4294966978.0,18729911.0
320,4294966977.0,18735059.0
321,4294966976.0,18740172.0
322,4294966975.0,18745258.0
323,4294966974.0,18750321.0
324,4294966973.0,18755362.0
325,4294966972.0,18760390.0
326,4294966971.0,18765396.0
327,4294966970.0,18770370.0
328,4294966969.0,18775336.0
329,4294966968.0,18780308.0
330,4294966967.0,18785275.0
331,4294966966.0,18790242.0
332,4294966965.0,18795204.0
333,4294966964.0,18800165.0
334,4294966963.0,18805135.0
335,4294966962.0,18810123.0
336,4294966961.0,18815118.0
337,4294966960.0,18820117.0
338,4294966959.0,18825116.0
339,4294966958.0,18830095.0
340,4294966957.0,18835067.0
341,4294966956.0,18840026.0
342,4294966955.0,18844972.0
343,4294966954.0,18849896.0
344,4294966953.0,18854802.0
345,4294966952.0,18859694.0
346,4294966951.0,18864561.0
347,4294966950.0,18869407.0
348,4294966949.0,18874238.0
349,4294966948.0,18879065.0
350,4294966947.0,18883881.0
351,4294966946.0,18888699.0
352,4294966945.0,18893517.0
353,4294966944.0,18898344.0
354,4294966943.0,18903172.0
355,4294966942.0,18908007.0
356,4294966941.0,18912845.0
357,4294966940.0,18917697.0
358,4294966939.0,18922546.0
359,4294966938.0,18927396.0
360,4294966937.0,18932236.0
361,4294966936.0,18937055.0
362,4294966935.0,18941854.0
363,4294966934.0,18946641.0
364,4294966933.0,18951399.0
365,4294966932.0,18956131.0
366,4294966931.0,18960834.0
367,4294966930.0,18965509.0
368,4294966929.0,18970165.0
369,4294966928.0,18974801.0
370,4294966927.0,18979428.0
371,4294966926.0,18984035.0
372,4294966925.0,18988635.0
373,4294966924.0,18993230.0
374,4294966923.0,18997826.0
375,4294966922.0,19002436.0
376,4294966921.0,19007049.0
377,4294966920.0,19011668.0
378,4294966919.0,19016281.0
379,4294966918.0,19020883.0
380,4294966917.0,19025461.0
381,4294966916.0,19030034.0
382,4294966915.0,19034619.0
383,4294966914.0,19039201.0
384,4294966913.0,19043764.0
385,4294966912.0,19048336.0
386,4294966911.0,19052890.0
387,4294966910.0,19057441.0
388,4294966909.0,19061970.0
389,4294966908.0,19066491.0
390,4294966907.0,19071000.0
391,4294966906.0,19075495.0
392,4294966905.0,19079990.0
393,4294966904.0,19084485.0
394,4294966903.0,19088974.0
395,4294966902.0,19093458.0
396,4294966901.0,19097945.0
397,4294966900.0,19102430.0
398,4294966899.0,19106913.0
399,4294966898.0,19111399.0
400,4294966897.0,19115889.0
401,4294966896.0,19120366.0
402,4294966895.0,19124831.0
403,4294966894.0,19129284.0
404,4294966893.0,19133727.0
405,4294966892.0,19138148.0
406,4294966891.0,19142555.0
407,4294966890.0,19146958.0
408,4294966889.0,19151367.0
409,4294966888.0,19155766.0
410,4294966887.0,19160162.0
411,4294966886.0,19164564.0
412,4294966885.0,19168968.0
413,4294966884.0,19173376.0
414,4294966883.0,19177775.0
415,4294966882.0,19182172.0
416,4294966881.0,19186555.0
417,4294966880.0,19190927.0
418,4294966879.0,19195302.0
419,4294966878.0,19199676.0
420,4294966877.0,19204037.0
421,4294966876.0,19208392.0
422,4294966875.0,19212723.0
423,4294966874.0,19217029.0
424,4294966873.0,19221318.0
425,4294966872.0,19225602.0
426,4294966871.0,19229868.0
427,4294966870.0,19234123.0
428,4294966869.0,19238357.0
429,4294966868.0,19242577.0
430,4294966867.0,19246792.0
431,4294966866.0,19250995.0
432,4294966865.0,19255201.0
433,4294966864.0,19259418.0
434,4294966863.0,19263643.0
435,4294966862.0,19267869.0
436,4294966861.0,19272102.0
437,4294966860.0,19276332.0
438,4294966859.0,19280568.0
439,4294966858.0,19284814.0
440,4294966857.0,19289073.0
441,4294966856.0,19293337.0
442,4294966855.0,19297596.0
443,4294966854.0,19301843.0
444,4294966853.0,19306082.0
445,4294966852.0,19310302.0
446,4294966851.0,19314513.0
447,4294966850.0,19318714.0
448,4294966849.0,19322909.0
449,4294966848.0,19327088.0
450,4294966847.0,19331248.0
451,4294966846.0,19335389.0
452,4294966845.0,19339527.0
453,4294966844.0,19343648.0
454,4294966843.0,19347761.0
455,4294966842.0,19351874.0
456,4294966841.0,19355990.0
457,4294966840.0,19360100.0
458,4294966839.0,19364207.0
459,4294966838.0,19368323.0
